neg,neu,pos
0.0,1.0,0.0
0.0,0.879,0.121
0.0,0.625,0.375
0.24,0.76,0.0
0.132,0.508,0.36
0.0,1.0,0.0
0.0,0.906,0.094
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.088,0.599,0.313
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.228,0.57,0.203
0.0,1.0,0.0
0.396,0.33,0.275
0.0,0.813,0.187
0.0,0.536,0.464
0.161,0.839,0.0
0.0,0.751,0.249
0.206,0.794,0.0
0.0,0.854,0.146
0.0,1.0,0.0
0.303,0.526,0.171
0.0,1.0,0.0
0.0,1.0,0.0
0.128,0.778,0.094
0.117,0.79,0.093
0.261,0.739,0.0
0.0,0.707,0.293
0.172,0.828,0.0
0.084,0.75,0.166
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.884,0.116
0.14,0.725,0.135
0.268,0.732,0.0
0.081,0.919,0.0
0.0,0.811,0.189
0.157,0.843,0.0
0.0,1.0,0.0
0.288,0.619,0.093
0.112,0.609,0.279
0.231,0.769,0.0
0.0,0.811,0.189
0.0,0.662,0.338
0.162,0.838,0.0
0.0,1.0,0.0
0.0,0.859,0.141
0.182,0.471,0.347
0.08,0.689,0.231
0.147,0.778,0.075
0.0,0.855,0.145
0.0,1.0,0.0
0.128,0.783,0.089
0.152,0.79,0.058
0.075,0.925,0.0
0.0,1.0,0.0
0.206,0.794,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.105,0.81,0.086
0.0,0.783,0.217
0.0,0.845,0.155
0.14,0.86,0.0
0.257,0.743,0.0
0.18,0.752,0.069
0.219,0.781,0.0
0.0,1.0,0.0
0.408,0.592,0.0
0.0,1.0,0.0
0.281,0.719,0.0
0.0,0.824,0.176
0.0,0.861,0.139
0.0,0.777,0.223
0.14,0.86,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.881,0.119
0.284,0.716,0.0
0.078,0.922,0.0
0.0,1.0,0.0
0.062,0.938,0.0
0.22,0.78,0.0
0.176,0.824,0.0
0.061,0.939,0.0
0.0,0.855,0.145
0.0,0.595,0.405
0.196,0.804,0.0
0.15,0.601,0.249
0.0,1.0,0.0
0.0,1.0,0.0
0.13,0.87,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.114,0.886,0.0
0.0,0.781,0.219
0.0,1.0,0.0
0.0,1.0,0.0
0.136,0.864,0.0
0.0,0.672,0.328
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.863,0.137
0.147,0.705,0.147
0.0,0.852,0.148
0.211,0.789,0.0
0.122,0.759,0.118
0.131,0.707,0.162
0.087,0.913,0.0
0.248,0.719,0.032
0.056,0.726,0.218
0.086,0.914,0.0
0.139,0.751,0.11
0.105,0.603,0.292
0.073,0.801,0.125
0.0,0.649,0.351
0.0,1.0,0.0
0.0,1.0,0.0
0.15,0.725,0.125
0.17,0.83,0.0
0.235,0.588,0.176
0.0,0.891,0.109
0.325,0.675,0.0
0.0,1.0,0.0
0.106,0.747,0.147
0.087,0.75,0.163
0.0,0.833,0.167
0.386,0.614,0.0
0.246,0.673,0.081
0.545,0.455,0.0
0.0,1.0,0.0
0.152,0.848,0.0
0.0,0.875,0.125
0.039,0.747,0.214
0.092,0.789,0.118
0.0,0.92,0.08
0.185,0.815,0.0
0.0,0.819,0.181
0.0,1.0,0.0
0.0,0.857,0.143
0.355,0.546,0.099
0.0,1.0,0.0
0.0,0.796,0.204
0.149,0.515,0.335
0.0,0.884,0.116
0.277,0.723,0.0
0.0,0.744,0.256
0.05,0.92,0.03
0.0,0.916,0.084
0.0,1.0,0.0
0.0,1.0,0.0
0.091,0.83,0.079
0.112,0.803,0.084
0.266,0.734,0.0
0.149,0.773,0.077
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.125,0.713,0.162
0.0,0.939,0.061
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.929,0.071
0.0,1.0,0.0
0.217,0.783,0.0
0.308,0.564,0.128
0.098,0.902,0.0
0.205,0.665,0.13
0.0,1.0,0.0
0.121,0.879,0.0
0.188,0.538,0.273
0.0,0.887,0.113
0.0,1.0,0.0
0.0,0.803,0.197
0.0,0.802,0.198
0.175,0.667,0.158
0.133,0.867,0.0
0.0,0.907,0.093
0.145,0.855,0.0
0.116,0.884,0.0
0.0,1.0,0.0
0.125,0.769,0.106
0.134,0.866,0.0
0.0,0.543,0.457
0.132,0.737,0.131
0.089,0.911,0.0
0.248,0.752,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.145,0.855,0.0
0.071,0.81,0.119
0.0,0.873,0.127
0.082,0.918,0.0
0.0,0.86,0.14
0.0,1.0,0.0
0.0,0.833,0.167
0.139,0.861,0.0
0.107,0.773,0.12
0.148,0.852,0.0
0.0,1.0,0.0
0.0,0.851,0.149
0.069,0.818,0.113
0.098,0.902,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.087,0.913,0.0
0.135,0.865,0.0
0.04,0.862,0.098
0.0,1.0,0.0
0.085,0.915,0.0
0.0,0.875,0.125
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.924,0.076
0.0,0.945,0.055
0.0,0.904,0.096
0.07,0.703,0.227
0.113,0.887,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.075,0.719,0.205
0.223,0.637,0.14
0.0,1.0,0.0
0.048,0.855,0.097
0.0,1.0,0.0
0.189,0.811,0.0
0.0,1.0,0.0
0.178,0.822,0.0
0.155,0.845,0.0
0.231,0.686,0.083
0.184,0.816,0.0
0.0,1.0,0.0
0.122,0.878,0.0
0.198,0.656,0.146
0.098,0.836,0.066
0.0,1.0,0.0
0.0,0.814,0.186
0.056,0.944,0.0
0.088,0.912,0.0
0.245,0.755,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.169,0.831,0.0
0.085,0.693,0.222
0.0,0.824,0.176
0.0,1.0,0.0
0.249,0.751,0.0
0.0,0.656,0.344
0.0,1.0,0.0
0.0,0.868,0.132
0.384,0.616,0.0
0.0,0.761,0.239
0.0,0.781,0.219
0.087,0.913,0.0
0.216,0.784,0.0
0.0,0.714,0.286
0.327,0.673,0.0
0.118,0.717,0.165
0.084,0.916,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.661,0.339
0.156,0.807,0.037
0.231,0.769,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.174,0.826,0.0
0.0,0.839,0.161
0.155,0.845,0.0
0.076,0.84,0.084
0.0,1.0,0.0
0.198,0.679,0.124
0.098,0.677,0.225
0.194,0.806,0.0
0.091,0.755,0.154
0.0,0.899,0.101
0.299,0.701,0.0
0.0,1.0,0.0
0.0,0.964,0.036
0.062,0.855,0.082
0.079,0.881,0.04
0.0,1.0,0.0
0.0,0.844,0.156
0.0,1.0,0.0
0.0,0.845,0.155
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.611,0.389
0.0,1.0,0.0
0.0,0.899,0.101
0.253,0.674,0.073
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.813,0.187
0.0,1.0,0.0
0.244,0.756,0.0
0.0,1.0,0.0
0.0,0.714,0.286
0.0,1.0,0.0
0.292,0.708,0.0
0.0,0.916,0.084
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.796,0.204
0.059,0.849,0.092
0.0,1.0,0.0
0.203,0.797,0.0
0.078,0.782,0.14
0.369,0.631,0.0
0.113,0.887,0.0
0.181,0.819,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.797,0.203
0.0,1.0,0.0
0.08,0.92,0.0
0.323,0.677,0.0
0.0,0.852,0.148
0.0,0.788,0.212
0.169,0.831,0.0
0.173,0.827,0.0
0.636,0.364,0.0
0.154,0.735,0.11
0.0,1.0,0.0
0.0,0.924,0.076
0.0,0.616,0.384
0.145,0.855,0.0
0.0,1.0,0.0
0.096,0.812,0.092
0.18,0.647,0.173
0.134,0.866,0.0
0.047,0.867,0.087
0.0,0.819,0.181
0.088,0.794,0.118
0.089,0.826,0.086
0.092,0.707,0.202
0.108,0.84,0.052
0.138,0.862,0.0
0.071,0.89,0.04
0.0,0.857,0.143
0.0,1.0,0.0
0.256,0.744,0.0
0.0,1.0,0.0
0.076,0.765,0.159
0.0,0.866,0.134
0.048,0.848,0.104
0.215,0.785,0.0
0.194,0.685,0.121
0.0,0.863,0.137
0.0,1.0,0.0
0.265,0.735,0.0
0.0,0.806,0.194
0.0,1.0,0.0
0.0,0.912,0.088
0.0,1.0,0.0
0.294,0.706,0.0
0.0,0.9,0.1
0.0,1.0,0.0
0.0,0.8,0.2
0.0,1.0,0.0
0.061,0.789,0.149
0.0,0.817,0.183
0.0,0.518,0.482
0.104,0.896,0.0
0.115,0.885,0.0
0.0,1.0,0.0
0.178,0.822,0.0
0.0,1.0,0.0
0.075,0.804,0.121
0.0,0.824,0.176
0.0,0.654,0.346
0.0,0.812,0.188
0.126,0.767,0.106
0.0,1.0,0.0
0.091,0.909,0.0
0.219,0.618,0.163
0.0,0.769,0.231
0.185,0.734,0.081
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.167,0.833,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.827,0.173
0.091,0.909,0.0
0.0,1.0,0.0
0.0,0.741,0.259
0.216,0.784,0.0
0.0,0.778,0.222
0.0,0.876,0.124
0.0,1.0,0.0
0.0,1.0,0.0
0.056,0.944,0.0
0.209,0.791,0.0
0.0,1.0,0.0
0.067,0.933,0.0
0.318,0.583,0.099
0.167,0.833,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.811,0.189
0.0,1.0,0.0
0.0,0.786,0.214
0.055,0.897,0.048
0.0,1.0,0.0
0.0,0.861,0.139
0.222,0.633,0.145
0.231,0.769,0.0
0.131,0.576,0.293
0.192,0.808,0.0
0.172,0.828,0.0
0.273,0.727,0.0
0.0,0.854,0.146
0.187,0.813,0.0
0.294,0.706,0.0
0.0,1.0,0.0
0.0,0.833,0.167
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.631,0.369
0.143,0.857,0.0
0.0,0.796,0.204
0.0,1.0,0.0
0.0,0.827,0.173
0.0,1.0,0.0
0.156,0.617,0.227
0.371,0.629,0.0
0.122,0.774,0.104
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.823,0.177
0.0,1.0,0.0
0.152,0.787,0.062
0.0,1.0,0.0
0.0,0.595,0.405
0.0,1.0,0.0
0.0,0.839,0.161
0.0,1.0,0.0
0.0,0.847,0.153
0.0,0.702,0.298
0.34,0.66,0.0
0.216,0.653,0.131
0.087,0.913,0.0
0.197,0.746,0.057
0.049,0.839,0.112
0.0,1.0,0.0
0.419,0.581,0.0
0.06,0.94,0.0
0.091,0.743,0.166
0.0,1.0,0.0
0.0,0.769,0.231
0.0,0.884,0.116
0.094,0.826,0.08
0.0,1.0,0.0
0.425,0.575,0.0
0.14,0.86,0.0
0.0,0.798,0.202
0.0,1.0,0.0
0.0,0.936,0.064
0.0,0.854,0.146
0.0,1.0,0.0
0.197,0.803,0.0
0.0,1.0,0.0
0.0,0.891,0.109
0.333,0.524,0.142
0.0,1.0,0.0
0.0,0.824,0.176
0.0,0.803,0.197
0.0,0.67,0.33
0.085,0.915,0.0
0.0,0.735,0.265
0.376,0.556,0.069
0.171,0.829,0.0
0.0,1.0,0.0
0.133,0.822,0.045
0.187,0.813,0.0
0.0,1.0,0.0
0.0,0.87,0.13
0.073,0.812,0.115
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.633,0.367
0.145,0.855,0.0
0.098,0.902,0.0
0.256,0.744,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.819,0.181
0.15,0.85,0.0
0.573,0.427,0.0
0.0,1.0,0.0
0.206,0.794,0.0
0.259,0.741,0.0
0.0,0.896,0.104
0.143,0.596,0.261
0.409,0.591,0.0
0.0,1.0,0.0
0.302,0.698,0.0
0.0,1.0,0.0
0.0,0.762,0.238
0.0,1.0,0.0
0.0,0.718,0.282
0.0,0.929,0.071
0.0,1.0,0.0
0.373,0.627,0.0
0.214,0.786,0.0
0.15,0.85,0.0
0.27,0.633,0.097
0.0,0.887,0.113
0.0,1.0,0.0
0.0,1.0,0.0
0.086,0.914,0.0
0.0,1.0,0.0
0.172,0.69,0.138
0.0,0.792,0.208
0.0,0.918,0.082
0.0,1.0,0.0
0.0,0.939,0.061
0.0,0.868,0.132
0.081,0.806,0.113
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.863,0.137
0.0,1.0,0.0
0.135,0.865,0.0
0.149,0.851,0.0
0.0,0.885,0.115
0.0,1.0,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.103,0.897,0.0
0.177,0.823,0.0
0.0,0.855,0.145
0.0,0.855,0.145
0.0,0.739,0.261
0.0,0.824,0.176
0.143,0.857,0.0
0.0,1.0,0.0
0.0,0.833,0.167
0.065,0.935,0.0
0.0,0.838,0.162
0.055,0.856,0.089
0.0,0.907,0.093
0.095,0.905,0.0
0.078,0.783,0.139
0.0,1.0,0.0
0.183,0.817,0.0
0.0,1.0,0.0
0.0,0.761,0.239
0.0,1.0,0.0
0.073,0.785,0.141
0.299,0.701,0.0
0.0,1.0,0.0
0.228,0.619,0.153
0.0,0.895,0.105
0.0,1.0,0.0
0.0,1.0,0.0
0.123,0.877,0.0
0.04,0.96,0.0
0.237,0.763,0.0
0.286,0.714,0.0
0.0,1.0,0.0
0.22,0.78,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.319,0.681,0.0
0.0,1.0,0.0
0.113,0.887,0.0
0.17,0.83,0.0
0.167,0.833,0.0
0.0,1.0,0.0
0.0,0.823,0.177
0.0,1.0,0.0
0.174,0.826,0.0
0.0,1.0,0.0
0.173,0.576,0.251
0.112,0.888,0.0
0.135,0.721,0.144
0.153,0.787,0.06
0.245,0.469,0.286
0.0,0.84,0.16
0.0,0.859,0.141
0.061,0.939,0.0
0.126,0.874,0.0
0.0,0.859,0.141
0.136,0.864,0.0
0.0,1.0,0.0
0.0,0.923,0.077
0.233,0.597,0.17
0.0,1.0,0.0
0.086,0.914,0.0
0.0,0.889,0.111
0.0,0.667,0.333
0.179,0.821,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.231,0.769,0.0
0.0,0.795,0.205
0.0,0.896,0.104
0.113,0.781,0.106
0.353,0.647,0.0
0.0,1.0,0.0
0.0,0.811,0.189
0.0,1.0,0.0
0.077,0.77,0.153
0.401,0.599,0.0
0.0,0.821,0.179
0.242,0.758,0.0
0.0,0.909,0.091
0.0,0.663,0.337
0.0,1.0,0.0
0.0,1.0,0.0
0.073,0.927,0.0
0.0,0.865,0.135
0.0,0.824,0.176
0.0,0.905,0.095
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.887,0.113
0.0,1.0,0.0
0.085,0.915,0.0
0.166,0.759,0.076
0.0,1.0,0.0
0.122,0.878,0.0
0.109,0.891,0.0
0.0,0.859,0.141
0.132,0.868,0.0
0.0,1.0,0.0
0.0,0.833,0.167
0.0,1.0,0.0
0.0,1.0,0.0
0.125,0.769,0.106
0.0,1.0,0.0
0.0,1.0,0.0
0.163,0.68,0.156
0.0,1.0,0.0
0.0,0.815,0.185
0.0,1.0,0.0
0.194,0.736,0.07
0.0,1.0,0.0
0.0,1.0,0.0
0.483,0.517,0.0
0.231,0.657,0.111
0.0,0.828,0.172
0.221,0.613,0.166
0.0,0.722,0.278
0.219,0.781,0.0
0.0,0.949,0.051
0.111,0.889,0.0
0.0,1.0,0.0
0.485,0.515,0.0
0.255,0.745,0.0
0.071,0.929,0.0
0.0,1.0,0.0
0.0,0.825,0.175
0.0,1.0,0.0
0.16,0.84,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.727,0.273
0.033,0.834,0.132
0.0,1.0,0.0
0.0,1.0,0.0
0.18,0.82,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.08,0.92,0.0
0.057,0.943,0.0
0.0,0.644,0.356
0.0,1.0,0.0
0.0,1.0,0.0
0.345,0.655,0.0
0.058,0.768,0.174
0.0,1.0,0.0
0.38,0.62,0.0
0.0,0.877,0.123
0.0,0.781,0.219
0.055,0.878,0.067
0.0,0.919,0.081
0.2,0.8,0.0
0.0,0.703,0.297
0.0,0.505,0.495
0.0,1.0,0.0
0.0,0.86,0.14
0.0,1.0,0.0
0.145,0.855,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.159,0.51,0.331
0.0,0.868,0.132
0.0,0.891,0.109
0.166,0.747,0.088
0.0,0.744,0.256
0.233,0.684,0.084
0.415,0.488,0.098
0.147,0.765,0.088
0.208,0.792,0.0
0.0,1.0,0.0
0.274,0.726,0.0
0.0,0.829,0.171
0.167,0.833,0.0
0.143,0.772,0.085
0.115,0.885,0.0
0.0,0.823,0.177
0.608,0.392,0.0
0.0,0.847,0.153
0.141,0.859,0.0
0.0,1.0,0.0
0.209,0.791,0.0
0.0,0.649,0.351
0.0,0.727,0.273
0.137,0.863,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.178,0.822,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.127,0.873,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.221,0.683,0.096
0.213,0.787,0.0
0.0,0.703,0.297
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.685,0.315
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.176,0.824,0.0
0.0,1.0,0.0
0.05,0.638,0.312
0.333,0.667,0.0
0.122,0.705,0.173
0.0,0.789,0.211
0.091,0.909,0.0
0.0,0.913,0.087
0.0,1.0,0.0
0.107,0.893,0.0
0.127,0.758,0.115
0.0,0.909,0.091
0.505,0.495,0.0
0.0,0.833,0.167
0.172,0.711,0.117
0.0,0.938,0.062
0.0,0.928,0.072
0.0,0.9,0.1
0.442,0.558,0.0
0.158,0.696,0.146
0.333,0.667,0.0
0.0,1.0,0.0
0.115,0.885,0.0
0.0,0.916,0.084
0.091,0.909,0.0
0.0,0.856,0.144
0.167,0.833,0.0
0.0,1.0,0.0
0.074,0.926,0.0
0.0,1.0,0.0
0.0,0.84,0.16
0.194,0.806,0.0
0.0,1.0,0.0
0.35,0.65,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.213,0.787,0.0
0.202,0.798,0.0
0.0,0.855,0.145
0.145,0.763,0.092
0.068,0.932,0.0
0.0,1.0,0.0
0.0,0.597,0.403
0.0,1.0,0.0
0.231,0.769,0.0
0.0,1.0,0.0
0.038,0.632,0.33
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.893,0.107
0.0,0.803,0.197
0.0,0.889,0.111
0.0,0.89,0.11
0.0,0.913,0.087
0.104,0.824,0.072
0.0,1.0,0.0
0.149,0.851,0.0
0.12,0.769,0.111
0.0,0.588,0.412
0.055,0.945,0.0
0.06,0.852,0.088
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.776,0.224
0.243,0.757,0.0
0.22,0.78,0.0
0.121,0.879,0.0
0.129,0.871,0.0
0.0,1.0,0.0
0.156,0.736,0.108
0.177,0.64,0.182
0.0,1.0,0.0
0.238,0.762,0.0
0.0,0.85,0.15
0.146,0.854,0.0
0.0,0.816,0.184
0.186,0.772,0.042
0.412,0.588,0.0
0.0,1.0,0.0
0.0,0.903,0.097
0.06,0.88,0.06
0.264,0.736,0.0
0.248,0.637,0.115
0.115,0.885,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.091,0.778,0.131
0.18,0.621,0.199
0.0,1.0,0.0
0.102,0.898,0.0
0.0,1.0,0.0
0.0,0.763,0.237
0.0,0.737,0.263
0.0,1.0,0.0
0.0,1.0,0.0
0.112,0.762,0.126
0.087,0.717,0.196
0.0,1.0,0.0
0.182,0.818,0.0
0.06,0.94,0.0
0.131,0.759,0.11
0.0,0.806,0.194
0.0,0.691,0.309
0.0,0.808,0.192
0.0,1.0,0.0
0.06,0.885,0.056
0.0,1.0,0.0
0.0,0.878,0.122
0.0,1.0,0.0
0.171,0.685,0.144
0.0,0.909,0.091
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.163,0.837,0.0
0.212,0.788,0.0
0.119,0.697,0.184
0.128,0.754,0.118
0.072,0.844,0.084
0.0,1.0,0.0
0.0,1.0,0.0
0.11,0.89,0.0
0.121,0.749,0.129
0.088,0.789,0.123
0.142,0.858,0.0
0.234,0.766,0.0
0.229,0.626,0.146
0.188,0.741,0.071
0.0,1.0,0.0
0.149,0.788,0.062
0.0,1.0,0.0
0.435,0.565,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.132,0.868,0.0
0.0,0.847,0.153
0.0,1.0,0.0
0.231,0.769,0.0
0.151,0.654,0.195
0.0,0.9,0.1
0.0,0.758,0.242
0.0,0.676,0.324
0.416,0.584,0.0
0.0,0.882,0.118
0.257,0.743,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.758,0.242
0.0,0.826,0.174
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.789,0.211
0.0,0.714,0.286
0.0,0.769,0.231
0.0,1.0,0.0
0.139,0.811,0.05
0.0,1.0,0.0
0.231,0.769,0.0
0.394,0.606,0.0
0.148,0.671,0.181
0.0,1.0,0.0
0.065,0.935,0.0
0.0,0.874,0.126
0.211,0.67,0.119
0.254,0.666,0.08
0.0,1.0,0.0
0.0,0.93,0.07
0.412,0.588,0.0
0.08,0.92,0.0
0.0,0.635,0.365
0.069,0.55,0.381
0.0,1.0,0.0
0.0,0.925,0.075
0.31,0.69,0.0
0.0,1.0,0.0
0.087,0.913,0.0
0.796,0.204,0.0
0.099,0.791,0.111
0.085,0.692,0.223
0.0,1.0,0.0
0.079,0.622,0.299
0.116,0.758,0.126
0.0,0.686,0.314
0.347,0.653,0.0
0.0,0.881,0.119
0.0,1.0,0.0
0.104,0.896,0.0
0.0,1.0,0.0
0.216,0.784,0.0
0.137,0.784,0.078
0.0,1.0,0.0
0.153,0.681,0.166
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.058,0.83,0.112
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.148,0.783,0.069
0.0,0.824,0.176
0.123,0.691,0.186
0.366,0.591,0.043
0.15,0.85,0.0
0.13,0.87,0.0
0.0,0.939,0.061
0.044,0.899,0.057
0.081,0.853,0.066
0.0,1.0,0.0
0.0,0.89,0.11
0.327,0.673,0.0
0.0,0.903,0.097
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.707,0.293
0.0,0.476,0.524
0.0,0.833,0.167
0.097,0.784,0.119
0.489,0.511,0.0
0.0,0.781,0.219
0.2,0.8,0.0
0.0,1.0,0.0
0.0,0.811,0.189
0.0,0.848,0.152
0.21,0.55,0.24
0.0,0.574,0.426
0.0,0.936,0.064
0.0,0.813,0.187
0.0,0.838,0.162
0.0,1.0,0.0
0.112,0.811,0.077
0.209,0.791,0.0
0.0,1.0,0.0
0.031,0.969,0.0
0.087,0.833,0.08
0.251,0.599,0.15
0.0,1.0,0.0
0.144,0.856,0.0
0.0,0.889,0.111
0.13,0.689,0.181
0.0,0.721,0.279
0.0,1.0,0.0
0.0,0.809,0.191
0.0,1.0,0.0
0.276,0.724,0.0
0.0,1.0,0.0
0.041,0.959,0.0
0.0,1.0,0.0
0.104,0.896,0.0
0.0,0.821,0.179
0.0,1.0,0.0
0.167,0.833,0.0
0.128,0.623,0.249
0.087,0.913,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.86,0.14
0.237,0.763,0.0
0.0,1.0,0.0
0.0,0.732,0.268
0.223,0.777,0.0
0.0,0.846,0.154
0.469,0.531,0.0
0.128,0.872,0.0
0.0,0.843,0.157
0.0,1.0,0.0
0.527,0.473,0.0
0.0,0.928,0.072
0.0,1.0,0.0
0.0,0.888,0.112
